name,amenity
Kaiser Palast,restaurant
Kunsthaus Angelmodde,restaurant
Balthazar Cocktailbar,bar
Takumi Vegan & Chicken,restaurant
Brot & Salz,restaurant
Münsterland West,restaurant
Burger King - Münster Westfalenstraße,fast_food
Le Feu,restaurant
Enchilada,restaurant
Kleiner Kiepenkerl,restaurant
Restaurant Münnich,restaurant
F24,restaurant
Mutter Birken,cafe
Imbiss am York-Center,fast_food
Antica Italia,restaurant
Mensa am Ring,fast_food
Mauritz Eck,restaurant
Spatzl,restaurant
Bistro,fast_food
Destille,bar
Gasolin,bar
Starbucks,cafe
Curry 48,fast_food
Zur Post Restaurant,restaurant
Bistro Henry,restaurant
Sültemeyer,restaurant
Santorini,restaurant
Franky's Imbiss,fast_food
Tayibat,fast_food
Antep,fast_food
Eiscafé Milano,cafe
Zoo-Restaurant,restaurant
Pizzamanufaktur,restaurant
Subway,fast_food
KFC,fast_food
McDonald's,fast_food
Starbucks,cafe
Asiahung,fast_food
Haferkater,cafe
Frittenwerk Pommesmanufaktur,fast_food
Fish & Rail,fast_food
Puschmanns Streetfood,fast_food
Achims Schnitzelkiste,fast_food
L'Osteria,restaurant
The ASH,restaurant
,fast_food
Curry Calle,fast_food
