WKT,ID,Produkt,Teilprodukt,Name,Plz,Strname,Hsnr,Rechtswert,Hochwert
"POINT (3407930 5759303)",357,Turn- und Sporthallen,Gymnastikräume,SSB Gy,48145,Mauritz-Lindenweg,95,3407930,5759303
"POINT (3407210 5758955)",358,Turn- und Sporthallen,Einfachhallen,Wilhelm-Emanuel-von-Ketteler-Berufskolleg,48145,Mindener Straße,11,3407210,5758955
"POINT (3408461 5753375)",359,Bezirkssportanlage,überlassen,Sportanlage Hiltrup-Ost,48165,Osttor,85,3408461,5753375
"POINT (3408461 5753375)",360,Sondersportanlagen,Bouleanlagen,Sportanlage Hiltrup-Ost,48165,Osttor,85,3408461,5753375
"POINT (3408461 5753375)",361,Sondersportanlagen,Speckbrettanlagen,Sportanlage Hiltrup-Ost,48165,Osttor,85,3408461,5753375
"POINT (3408461 5753375)",362,Sondersportanlagen,Beachvolleyballanlagen,Sportanlage Hiltrup-Ost,48165,Osttor,85,3408461,5753375
"POINT (3404774 5763658)",363,Turn- und Sporthallen,Einfachhallen,Paul-Schneider-Schule Kinderhaus,48159,Pastorsesch,34,3404774,5763658
"POINT (3409708 5759599)",364,Bezirkssportanlage,überlassen,Sportanlage Pleistermühlenweg,48155,Pleistermühlenweg,119,3409708,5759599
"POINT (3407555 5760802)",365,Sportaußenanlagen an Schulen,Förderschulen,Sportfläche Erich-Kästner-,48145,Pötterhoek,45,3407555,5760802
"POINT (3407575 5760700)",366,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Pötterhoekschule,48145,Pötterhoek,49,3407575,5760700
"POINT (3405133 5757915)",367,Turn- und Sporthallen,Einfachhallen,Wilhelm-Hittorf-Gymnasium,48151,Prinz-Eugen-Straße,27,3405133,5757915
"POINT (3405133 5757915)",368,Turn- und Sporthallen,Gymnastikräume,Wilhelm-Hittorf-Gymnasium,48151,Prinz-Eugen-Straße,27,3405133,5757915
"POINT (3405133 5757915)",369,Turn- und Sporthallen,Zweifachhalle,Wilhelm-Hittorf-Gymnasium,48151,Prinz-Eugen-Straße,27,3405133,5757915
"POINT (3405133 5757915)",370,Sportaußenanlagen an Schulen,Gymnasien/B.-Kollegs,Sportfläche Hittorf-Gymnasium,48151,Prinz-Eugen-Straße,27,3405133,5757915
"POINT (3405683 5756933)",371,Turn- und Sporthallen,Einfachhallen,Brüder-Grimm-Sporthalle,48153,Scheibenstraße,114,3405683,5756933
"POINT (3402690 5756094)",372,Sportaußenanlagen an Schulen,Grundschulen,"Sportfläche Peter-Wust-Schule, Am Schürbusch",48163,Schürbusch,45,3402690,5756094
"POINT (3401715 5755793)",373,Bezirkssportanlage,überlassen,Sportanlage Schwarzer Kamp,48163,Schwarzer Kamp,41,3401715,5755793
"POINT (3406157 5759673)",374,Turn- und Sporthallen,Einfachhallen,"Johann-Conrad-Schlaun-Gymnasium,",48143,Sonnenstraße,18,3406157,5759673
"POINT (3405388 5756541)",375,Turn- und Sporthallen,Einfachhallen,"Karl-Wagenfeld-Realschule, alte Halle",48153,Spichernstraße,17,3405388,5756541
"POINT (3405388 5756541)",376,Turn- und Sporthallen,Einfachhallen,"Karl-Wagenfeld-Realschule, neue Halle",48153,Spichernstraße,17,3405388,5756541
"POINT (3405388 5756541)",377,Sportaußenanlagen an Schulen,Haupt-/Realschulen,Sportfläche Karl-Wagenfeld-Realschule,48153,Spichernstraße,17,3405388,5756541
"POINT (3406007 5759945)",378,Turn- und Sporthallen,Einfachhallen,Martinischule,48143,Stiftsherrenstraße,40,3406007,5759945
"POINT (3406007 5759945)",379,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Martinischule,48143,Stiftsherrenstraße,40,3406007,5759945
"POINT (3407253 5759735)",380,Turn- und Sporthallen,Einfachhallen,Mauritzschule,48145,Stiftsstraße,17,3407253,5759735
"POINT (3407253 5759735)",381,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Mauritzschule,48145,Stiftsstraße,17,3407253,5759735
"POINT (3406956 5760930)",382,Turn- und Sporthallen,Einfachhallen,Thomas-Morus-,48147,Thomas-Morus-Weg,5,3406956,5760930
"POINT (3406956 5760930)",383,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Thomas-Morus-,48147,Thomas-Morus-Weg,5,3406956,5760930
"POINT (3398979 5758848)",384,Turn- und Sporthallen,Dreifachhallen,Schulzentrum Roxel,48161,Tilbecker Straße,24,3398979,5758848
"POINT (3398979 5758848)",385,Sportaußenanlagen an Schulen,Schulzentren,Sportfläche Schulzentrum Roxel,48161,Tilbecker Straße,24,3398979,5758848
"POINT (3398839 5758905)",386,Bezirkssportanlage,nicht überlassen,Sportzentrum Roxel,48161,Tilbecker Straße,34,3398839,5758905
"POINT (3398839 5758905)",387,Sondersportanlagen,Bouleanlagen,Sportzentrum Roxel,48161,Tilbecker Straße,34,3398839,5758905
"POINT (3398839 5758905)",388,Sondersportanlagen,Speckbrettanlagen,Alter Sportplatz Roxel,48161,Tilbecker Straße,34,3398839,5758905
"POINT (3398779 5758874)",389,Sondersportanlagen,Beachvolleyballanlagen,Hallenbad Roxel,48161,Tilbecker Straße,36,3398779,5758874
"POINT (3401636 5761018)",390,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Wartburg,48161,Toppheideweg,91,3401636,5761018
"POINT (3405666 5761119)",391,Turn- und Sporthallen,Dreifachhallen,Pascal-Gymnasium,48147,Uppenkampstiege,17,3405666,5761119
"POINT (3405666 5761119)",392,Sondersportanlagen,Beachvolleyballanlagen,Pascal-Gymnasium,48147,Uppenkampstiege,17,3405666,5761119
"POINT (3405666 5761119)",393,Sportaußenanlagen an Schulen,Gymnasien/B.-Kollegs,Sportfläche Pascal-Gymnasium,48147,Uppenkampstiege,17,3405666,5761119
"POINT (3408797 5756176)",394,Turn- und Sporthallen,Einfachhallen,Idaschule,48167,Vörnste Esch,19,3408797,5756176
"POINT (3408797 5756176)",395,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Idaschule,48167,Vörnste Esch,19,3408797,5756176
"POINT (3405354 5758514)",396,Turn- und Sporthallen,Einfachhallen,Johannisschule,48151,Vogel-von-Falkenstein-Straße,4,3405354,5758514
"POINT (3405354 5758514)",397,Sportaußenanlagen an Schulen,Grundschulen,Sportfläche Johannisschule,48151,Vogel-von-Falkenstein-Straße,4,3405354,5758514
"POINT (3403594 5759846)",398,Turn- und Sporthallen,Einfachhallen,Wartburgschule,48149,Von-Esmarch-Straße,15,3403594,5759846
